Sample in Buffer,Sample in Window,TRIGGER,design_1_i/fulltopHDC_0/U0/HDCOTFGEn/BV[999:900],design_1_i/fulltopHDC_0/U0/HDCOTFGEn/cls/CST/hv[2:0],design_1_i/fulltopHDC_0/U0/HDCOTFGEn/cls/CST/countSimArr[0].comp/compArr[1].comp/class[127:0],design_1_i/fulltopHDC_0/U0/HDCOTFGEn/cls/CST/countSimArr[0].comp/compArr[1].comp/hv[0:0],design_1_i/fulltopHDC_0/U0/HDCOTFGEn/QHV[335:0],design_1_i/fulltopHDC_0/U0/HDCOTFGEn/doneEncoderToClassifier
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
1,1,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
2,2,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
3,3,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
4,4,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
5,5,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
6,6,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
7,7,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
8,8,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
9,9,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
10,10,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
11,11,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
12,12,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
13,13,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
14,14,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
15,15,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
16,16,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
